formula,images
\langle O \rangle _ { A } = \langle O \rangle _ { L } + \int _ { 0 } ^ { 1 } d \kappa \int D \phi ( \tilde { \delta } _ { 1 } [ \phi ] + \kappa \tilde { \delta } _ { 2 } [ \phi ] ) \Theta ^ { \prime } [ \phi ] \frac { \delta O } { \delta \phi } e ^ { i S _ { e f f } ^ { M } } .,6f7c830422.png
\partial ^ { 2 } X ^ { \mu } / \partial \tau ^ { 2 } - \partial ^ { 2 } X ^ { \mu } / \partial \sigma ^ { 2 } = 0 .,6b076364ee.png
M = R ^ { 3 } \times \frac { R ^ { 1 } \times M _ { 0 } } { G },6254b7071a.png
\frac { E _ { y } ^ { \prime } } { E _ { x } ^ { \prime } } = \frac { \gamma E _ { x } + \delta E _ { y } } { \alpha E _ { x } + \beta E _ { y } } .,6f254a87c8.png
\hbar = e = m _ { e } = 1 c = 1 / \alpha G = \mu _ { e } ^ { 2 } / \alpha M ^ { 2 } = \mu ^ { 2 } / \mu _ { e } ^ { 2 },2fa77ac5a6.png
"\Phi ^ { \Delta } = ( A _ { ( \sigma ) } ^ { \alpha \beta } , B _ { \alpha } ^ { ( \sigma ) } , \eta _ { \alpha ( \sigma ) } , C _ { ( \sigma ) } ) ,",1f581eb51d.png
Z _ { \mu \nu } \gamma ^ { \mu } \sigma \cdot A \gamma ^ { \nu } \sigma \cdot B \gamma _ { 5 },415bb4b30d.png
\frac { 2 \pi } { L } \nu \sin \theta ( \nu ) - m \cos \theta ( \nu ) + \frac { N g ^ { 2 } L } { 1 6 \pi ^ { 2 } } \int - d \nu ^ { \prime } \frac { \sin ( \theta ( \nu ) - \theta ( \nu ^ { \prime } ) ) } { ( \nu - \nu ^ { \prime } ) ^ { 2 } } = 0 .,637a46fd2d.png
\frac { i [ 1 - \varepsilon ^ { 2 } ] } { \Im + i \epsilon } =,347b2ced7c.png
"E _ { \pm n } = \pm \sqrt { m ^ { 2 } + 2 | e B | ( n + \frac { 1 } { 2 } ) - 2 e B S _ { \pm } } ,",1dce02d4ec.png
"Z ( \lambda , \beta _ { I } ) = \sum _ { N } e ^ { - \lambda N } \sum _ { T ^ { ( N ) } } Z _ { T ^ { ( N ) } } ( \beta _ { I } ) ,",6156079575.png
\partial _ { U } ( U ^ { 8 } ( 1 - \frac { U _ { 0 } ^ { 7 } } { U ^ { 7 } } ) \partial _ { U } \phi ) + ( \frac { c g _ { Y M } ^ { 2 } N \omega ^ { 2 } U } { 1 - U _ { 0 } ^ { 7 } / U ^ { 7 } } - \ell ( \ell + 7 ) U ^ { 6 } ) \phi = 0 .,71827389f9.png
\langle 0 | \bar { \psi } ( x ) \psi ( x ) | 0 \rangle = - \frac { N } { 2 \pi } m \int _ { 0 } ^ { \infty } \frac { d k ^ { + } } { k ^ { + } } .,15a9f72f5e.png
"W ( \{ a _ { i } \} ; B _ { i j } ) = W ( \{ 0 , a _ { i \neq 1 } \} ; 0 ) W ( \{ a _ { 1 } , 0 \} ; 0 ) .",41df96d8ab.png
"d _ { m , j } = \{ \begin{array} { c c } \sum _ { k } \widetilde { \beta } _ { \frac { m } { 2 } - k } \beta _ { j - | k | } & i f m i s e v e n ; \\ \sum _ { k } \widetilde { \alpha } _ { \frac { m + 1 } { 2 } - k } \alpha _ { j - | k | } & i f m i s o d d . \end{array} .",6dca8692a8.png
1 . 7 5 i n \times ( - 1 ) ^ { ( \partial _ { \overline { \Lambda } _ { 1 } } - \frac { n - i - 1 } { n } ) ( n - 1 ) } ( - 1 ) ^ { \frac { 1 } { 2 } ( n - i ) ( n - i - 1 ) },6b8fb81dce.png
\delta ( q ) = \varphi ^ { + } ( q ) - \varphi ^ { - } ( q ) = - 2 a r c t a n q + C u t,d8275b158e.png
\Gamma =,4389d9b8ea.png
"\frac { 1 } { i } G ( x , x ; \chi ) = \frac { 1 } { ( 2 \pi ) ^ { 2 } } \int \frac { d ^ { 2 } k _ { E } } { ( k _ { E } ^ { 2 } + \chi ) } \equiv \frac { 1 } { ( 2 \pi ) } \int \frac { d k } { 2 \sqrt { k ^ { 2 } + \chi } }",7d81829ab5.png
"Q \equiv q + \frac { i } { 2 } ( - i [ \frac { H } { m _ { o p } } , q ] ) .",5e891b1a4c.png
"\langle K ^ { ( \mu ) } ( x , y , P _ { x , y } ) \rangle \sim e x p ( - M _ { r e n } ^ { ( \mu ) } L ( P ) ) e x p ( - M _ { d y n } ^ { ( \mu ) } | x - y | ) ,",291adc0071.png
"2 ( 1 - G _ { 3 } ^ { 2 } ) ^ { 2 } \{ G _ { 3 } , \tau \} = - ( 3 + G _ { 3 } ^ { 2 } ) ( \partial _ { \tau } G _ { 3 } ) ^ { 2 } .",a732be3e8d.png
P _ { 2 n } ( p ) ( 1 + m ^ { 2 } \frac { P _ { 2 n - 2 } ( p ) } { P _ { 2 n } ( p ) } + \dots + m ^ { 2 n } \frac { 1 } { P _ { 2 n } ( p ) } ),25c07c16a5.png
\int d ^ { 2 } x \frac { f } { 2 } \pi ^ { a } \pi ^ { a } = \frac { 1 } { 2 I },3553a98a15.png
"K ^ { \prime } = a K , . 5 c m \vec { A } _ { \mu } ^ { \prime } = a \vec { A } _ { \mu } .",3a53fd1d34.png
"\tilde { q } ^ { 1 } = ( 0 , - 6 , 0 , 0 , 0 , 2 , 3 , 1 ) .",3278ae650a.png
M _ { B } = 2 M \sin \frac { \pi p } { 2 } = \sqrt { 3 } M,78ef54e383.png
g _ { \mu \nu } \equiv \frac { \rho _ { 0 } } { c _ { 0 } } [ \begin{array} { c c c } - ( c _ { 0 } ^ { 2 } - v _ { 0 } ^ { 2 } ) & \vdots & - v _ { 0 } ^ { j } \\ \cdots \cdots \cdots \cdots & \cdot & \cdots \cdots \\ - v _ { 0 } ^ { i } & \vdots & \delta _ { i j } \end{array} ] .,52b5dc8b53.png
"g = ( \begin{array} { c c } a & b \\ c & d \end{array} ) , . 5 i n a d - b c = 1 .",1288450d01.png
"E _ { x , i } ^ { a } = - \frac { i } { g a } t r ( \tau ^ { a } \dot { U } _ { x , i } U _ { x , i } ^ { \dagger } ) .",34f0e8b0c3.png
K _ { + } - K _ { - } = \eta \frac { \sqrt { D - 1 } } { 2 } \kappa _ { D } ^ { 2 } f ^ { \prime } ( C ) = - \frac { D - 1 } { D - 2 } \kappa _ { D } ^ { 2 } f ( C ) .,4ea2b51e78.png
( R _ { a b } R ^ { a b } - \frac { n } { 4 ( n - 1 ) } R ^ { 2 } ) \phi ^ { \frac { 2 ( n - 4 ) } { n - 2 } },c578283712.png
"F ^ { \lambda _ { 1 } \lambda _ { 2 } , \lambda _ { 3 } \lambda _ { 4 } , \lambda _ { 5 } \lambda _ { 6 } } = ( F ^ { \lambda _ { 1 } \lambda _ { 2 } } , F ^ { \lambda _ { 3 } \lambda _ { 4 } } , F ^ { \lambda _ { 5 } \lambda _ { 6 } } ) =",5d9f7ca8dc.png
"\Psi ( \bar { \xi } ^ { \prime \prime } , t ) = \int \frac { d \mu ( \bar { Z } , Z ) } { L _ { 1 } ^ { m } L _ { 2 } ^ { n } } K ( \bar { \xi } ^ { \prime \prime } , Z ; t ) \Psi ( Z , 0 )",784195f4cb.png
"\phi = \frac { 1 } { 2 } \phi _ { o } [ 1 - t a n h ( \frac { \rho - R } { d x } ) ] ,",72cfb992b4.png
\tilde { \Pi } _ { p } ^ { ( 1 ) } = - \frac { 2 } { 3 \kappa } s g n ( \kappa ) .,5a30ec154b.png
Q L _ { g . f . } = Q L _ { c l } + Q ^ { 2 } \Psi = 0 .,6baa5cfe4f.png
"X _ { A M } ^ { * } = \epsilon ^ { A B } \epsilon ^ { M N } X _ { B N } , \psi _ { M X } ^ { * } = \epsilon ^ { M N } \epsilon ^ { X Y } \psi _ { N Y } .",6f27efb461.png
"S _ { E } = - \frac { 1 } { 1 6 \pi G _ { d } } \int _ { M } d ^ { d } x \sqrt { \hat { g } } [ R - e ^ { - b \Phi } m - ( \partial \Phi ) ^ { 2 } - e ^ { - a \Phi } H _ { p + 1 } ^ { 2 } ] ,",367dea4d56.png
"\eta ^ { \prime } = C \frac { w } { \sqrt { b w ^ { 2 } - w + 1 } } e ^ { f ( w ) } ,",6d86339157.png
R _ { \gamma } = R + \frac { 2 \gamma } { \pi - \gamma } \frac { 1 } { r _ { 0 } ^ { 2 } },10f5e32ab1.png
s _ { \perp } = s _ { \perp } ( k ; \kappa ^ { 2 } ) = \sqrt { \frac { 2 5 } { 4 } + 4 \kappa ^ { 2 } ( 1 + k ^ { 2 } ) } - \frac { 1 } { 2 } .,6d47a24499.png
X = \frac { \cos \theta } { 1 - \sin \theta } .,771a488958.png
"2 \sum _ { n = 0 } e ^ { - c s ( 2 n + 1 ) } = \sinh ^ { - 1 } c s ,",72230fd4b9.png
"\wp = \sum _ { m \in \Delta \cap M } c _ { m } \prod _ { l = 1 } ^ { N } z _ { l } ^ { \langle v _ { l } , m \rangle + 1 } .",59aebc4529.png
"\frac { E ( \vartheta , L ) } { M } = - \sqrt { \frac { 2 } { \pi l } } e ^ { - l } \cos \vartheta + \dots .",46940f2335.png
a ( t ) = a _ { 0 } [ 1 + \frac { b ^ { 2 } } { \cosh ^ { 2 } ( t / t _ { 0 } ) } ] ^ { - 1 / 2 },7d0e3ea49a.png
"\frac { \ddot { S } } { S } = q _ { 0 } = \frac { \dot { S } ^ { 2 } } { S ^ { 2 } } + \frac { k } { S ^ { 2 } } ,",2b4c3eaf85.png
\omega _ { b } ^ { a } = \alpha _ { b } ^ { a } .,6fc5f78008.png
L = \bar { \Psi } ( i \gamma ^ { \mu } D _ { \mu } - M ) \Psi,683a98af8f.png
"\frac { 1 } { 2 i } ( T - T ^ { * } ) = \frac { 1 } { 1 6 \sqrt { s } } \int _ { 0 } ^ { 2 \pi } \frac { d \theta } { 2 \pi } | T ( s , \theta ) | ^ { 2 } , 4 \mu ^ { 2 } \le s < 1 6 \mu ^ { 2 } .",61f6f09418.png
"d s ^ { 2 } = ( 1 - \frac { 2 m } { r } ) ( - d \tau ^ { 2 } + d \sigma ^ { 2 } ) ,",5069639bad.png
"T r [ X ^ { a } , X ^ { b } ] = \frac { i A } { 2 \pi }",3e8812edb8.png
"l i m _ { r \rightarrow \infty } \phi ( r , \theta , t ) = \phi _ { 0 } ( t ) ,",1d9fd4e480.png
p a r ( \tilde { E } _ { k } ) = \frac { ( k + 1 ) ( k + 2 ) } { 2 } + 1,4870c1f9fc.png
"\{ f ( x ) , g ( x ) \} = ( f * g ) ( x ) - ( g * f ) ( x )",4a065fad92.png
"\{ F , G \} = \sum \int _ { \Omega } \int _ { \Omega } \frac { \delta F } { \delta \phi _ { A } ( x ) } \frac { \delta G } { \delta \phi _ { B } ( y ) } \{ \phi _ { A } ( x ) , \phi _ { B } ( y ) \} ,",658c90ed65.png
"f ^ { ( 0 ) } = k S , K ^ { ( 0 ) } = - \ln ( S + \overline { S } ) + G ^ { ( 0 ) } ( Z , \overline { Z } ) ,",3047ce3033.png
m ^ { 1 / 3 } \lambda ^ { 2 } = 2 \pi ( 4 \pi k _ { 1 1 } ^ { 2 } ) ^ { 2 / 3 } .,177af3a06e.png
\langle A B _ { 1 } B _ { 2 } \rangle - \langle A B _ { 1 } \rangle \langle \tilde { B } _ { 2 } \rangle - \langle A B _ { 2 } \rangle \langle \tilde { B } _ { 1 } \rangle + \langle A \rangle \langle \tilde { B } _ { 1 } \rangle \langle \tilde { B } _ { 2 } \rangle,2dfe270b76.png
\min _ { m } \{ E _ { m } \} \ge E _ { \vec { \ell } \in M _ { Q } } ^ { i = 3 } .,1abc2fc58b.png
Z _ { T } = \int D [ \phi ] e x p ( \int _ { 0 } ^ { 1 / T } d \tau \int d ^ { 3 } x L _ { E } ) .,2afcf8a72b.png
\sum _ { h = 1 } ^ { 2 } W _ { I I _ { 1 } I _ { 2 } I _ { 3 } } ^ { h } \varphi _ { I _ { 1 } I _ { 2 } I _ { 3 } } \stackrel { ! } { = } 0,51c0d7648f.png
J _ { 1 } = - J _ { 2 } = J = ( 2 Q _ { 1 } Q _ { 2 } Q _ { 3 } ) ^ { \frac { 1 } { 2 } } ( L _ { 1 } - L _ { 2 } ) .,35e82cbe61.png
"p ( n ) \asymp \frac { e x p ( K \sqrt n ) } { 4 n \sqrt 3 } ,",15408589dc.png
D _ { R } ^ { j } = \frac { 1 } { 2 } D _ { k / 4 } ^ { j },68d1611714.png
"\pi _ { \psi } = \pi _ { \phi } , \pi _ { \eta } = \pi _ { \phi } - \pi _ { \sigma } e ^ { - \eta }",27dcc01d64.png
H ^ { c } = \frac { 1 } { 2 } p ^ { 2 } + \frac { 1 } { 2 } ( W ^ { \prime } ( x ) ) ^ { 2 } + \frac { \hbar } { 2 } W ^ { \prime \prime } ( x ) \sigma,6e3951d7a9.png
"S = ( 1 / 4 \lambda ^ { 2 } ) \int d ^ { 2 } x T r ( \partial _ { \mu } g \partial ^ { \mu } g ^ { - 1 } ) + k \Gamma ,",7c81cbe77e.png
"g [ E _ { i } ^ { a } ( x ) , \chi _ { 1 } ( y ) ] + g ^ { 2 } [ E _ { i } ^ { a } ( x ) , \chi _ { 2 } ( y ) ] + g ^ { 3 } [ E _ { i } ^ { a } ( x ) , \chi _ { 3 } ( y ) ] + O ( g ^ { 4 } ) ,",4d64719725.png
"| \tilde { \Xi } ^ { \psi } \rangle = \tilde { N } ^ { 1 0 } e x p ( \frac { 1 } { 2 } \psi _ { r } ^ { \dag } \tilde { S } _ { r s } \psi _ { s } ^ { \dag } ) | 0 \rangle ,",27fe4fe69e.png
"K = \frac { 1 } { 2 } K _ { \mu \nu } d x ^ { \mu } \wedge d x ^ { \nu } ,",72afffdc0d.png
"Z _ { N } ( x _ { 1 } , \dots x _ { M } ; p , \epsilon ) = \sum _ { \mu ; | \mu | = N } S _ { \mu } ( x _ { 1 } , \dots x _ { M } ) ,",4f254c5113.png
"N ( L ) = \frac { i } { 2 \pi } \sum _ { i , j = 1 } ^ { B } \int _ { 0 } ^ { \Phi } \frac { ( z _ { i } ^ { \prime } ( \phi ) - p _ { j } ^ { \prime } ( \phi ) ) d \phi } { ( z _ { i } ( \phi ) - p _ { j } ( \phi ) ) } .",42386c3287.png
"D _ { + } ( \Lambda z ) \approx - \frac { 1 } { 4 \pi \tilde { L } ^ { 2 } } \frac { 1 } { e x p \{ i \pi \frac { 4 \tilde { L } ^ { 2 } } { L ^ { 2 } } \} - 1 } ,",689e49814f.png
"e ^ { - \frac { 1 } { 2 } ( 1 + \lambda ) t ^ { 2 } + ( 1 + \lambda ) t u } = \sum _ { n = 0 } ^ { + \infty } \frac { t ^ { n } } { n ! } P _ { n } ( u ; \lambda ) ,",7f459ac52b.png
A _ { h } = 2 \pi \sum _ { i } ^ { g } ( u _ { i } \alpha _ { i } - v _ { i } \beta _ { i } ) .,6e81546938.png
\sum _ { n \neq 0 } n [ N _ { n } + \tilde { N } _ { n } + \sum _ { I = 3 } ^ { 8 } N _ { n } ^ { I } + \sum _ { 1 } ^ { 8 } F _ { n } ^ { ( a ) } ] = k m .,5553d3bfec.png
B = - \frac { e v ^ { 2 } } { 2 } \frac { a ^ { \prime } } r,5fadc52ea1.png
E ( L ) = - \frac { \pi c ( L ) } { 6 L } .,7d7ae67068.png
"E _ { C } ( R , T = 0 ) = \int _ { 0 } ^ { \infty } d \omega E _ { C } ( R , \omega ) ,",6baaef5ef5.png
"\alpha ^ { 2 } = \alpha _ { 0 } ^ { 2 } | x - 2 \psi _ { 0 } / 3 | ^ { 3 - \mu l ^ { 2 } e x p ( - \psi _ { 2 0 } ) } \Omega ^ { 3 / 2 } ,",276358b804.png
\dot { N } _ { l } ( t ) = \frac { c } { l _ { c } ^ { 2 } } L _ { l } ( t ) N _ { w } ^ { 2 } ( t ) e ^ { ( 3 \gamma - 1 ) \lambda ( t ) } .,8f39b86540.png
"S _ { g f } = \frac { 1 } { 3 2 e ^ { 2 } \xi } \int d ^ { 4 } x d ^ { 4 } \theta D ^ { 2 } V \bar { D } ^ { 2 } V ,",317aadce07.png
"I m ( P _ { \iota } ) _ { U } = V ( U ) , 0 . 7 c m U \subset U _ { \iota } .",3d959d9f4b.png
"\epsilon _ { n , \sigma } ^ { 2 } = p _ { 3 } ^ { 2 } + ( 2 n + 1 - 2 \sigma ) g H + \Pi ( H , n , \sigma , T )",6d64519f60.png
\phi _ { 0 } ^ { a } = \frac { i } { 2 } \bar { c } _ { A } \wedge \gamma ^ { a } c _ { A } = C ^ { a } + \cdots .,718fe4db8f.png
"d s ^ { 2 } = - d t ^ { 2 } + a ^ { 2 } ( t ) ( d \chi ^ { 2 } + f _ { \kappa } ^ { 2 } ( \chi ) d \phi ^ { 2 } ) ,",ab9dc4b8d8.png
\sigma ^ { \prime \prime } = \sum _ { i } \frac { V _ { i } } { 1 2 M ^ { 3 } } \delta ( y - L _ { i } ),3e37d9737b.png
"\eta ^ { \prime } = \psi _ { - } ^ { - 1 } \eta \psi _ { + } , \nu _ { \pm } ^ { \prime } = \psi _ { \pm } ^ { - 1 } \chi _ { \pm } ^ { - 1 } \nu _ { \pm } \psi _ { \pm } .",382cf6ef6c.png
V _ { - b / 2 } V _ { \alpha } = C _ { + } [ V _ { \alpha - b / 2 } ] + C _ { - } [ V _ { \alpha + b / 2 } ],543564bd03.png
"C _ { 1 } \zeta _ { \lambda } ( p ; \alpha , n ) = ( 1 + \alpha ^ { 2 } - 1 / 4 ) \zeta _ { \lambda } ( p ; \alpha , n ) ,",228f7449b5.png
E _ { 0 0 } = \frac { 1 } { a ^ { 4 } } \int d \tau a ^ { 4 } ( \partial _ { \tau } ( \frac { 3 } { 1 6 } \dot { \phi } ^ { 2 } + \frac { 3 } { 8 } U ) + \frac { 3 } { 2 } H \dot { \phi } ^ { 2 } + \frac { \dot { U } _ { B } } { 4 } \rho _ { m } ),7cbeb8c17a.png
D ^ { 2 } \equiv R ^ { a b } J _ { a b } + R ^ { a } P _ { a },562d42b1f9.png
( \partial X ^ { i } + M _ { j } ^ { i } \bar { \partial } X ^ { j } ) | B \rangle = 0,6da529e615.png
I _ { i j } ^ { ( 1 ) \mu } = \frac { i } { 2 } \Psi ^ { \lambda } \Psi ^ { \sigma } ( f _ { i \sigma } ^ { \nu } D _ { \nu } f _ { j \lambda } ^ { \mu } + f _ { j \sigma } ^ { \nu } D _ { \nu } f _ { i \lambda } ^ { \mu } + \frac { 1 } { 2 } f _ { i } ^ { \mu \rho } c _ { j \lambda \sigma \rho } + f _ { j } ^ { \mu \rho } c _ { i \lambda \sigma \rho } ),3bfe90e9a5.png
e x p ( 2 \pi i \int _ { S ^ { 2 } } \phi ^ { * } B ) = 1,1894775b23.png
\bar { \theta } \Gamma ^ { i j } \partial _ { \alpha } \theta o r \bar { \theta } \Gamma ^ { + \mu } \partial _ { \alpha } \theta,47a04dac8f.png
"M _ { i n t } ^ { 2 } ( x _ { 1 } , x _ { 2 } , s _ { 1 } , s _ { 2 } ) \equiv \frac { s _ { 1 } ^ { 2 } + r _ { n } } { x _ { 1 } } + \frac { s _ { 2 } ^ { 2 } + r _ { n } } { x _ { 2 } } + \frac { ( s _ { 1 } + s _ { 2 } ) ^ { 2 } + r _ { n } } { 1 - x _ { 1 } - x _ { 2 } } .",1b5eed78b7.png
"S = \int d ^ { 4 } x \sqrt { g ( x ) } \{ [ \frac { \Lambda } { 8 \pi G } + \frac { 1 } { 2 } \mu ^ { 2 } ( x ) ] - \frac { 1 } { 8 \pi G } R ( x ) \} + S _ { 1 } + S _ { 2 } ,",58b07d7791.png
"G ( x , x , i t ) = \frac { T ( i t ) } { 2 t } g _ { + } ( i t , x ) g _ { - } ( i t , x ) .",37cafa3704.png
"F ( X ) = i d _ { A B C } \frac { X ^ { A } X ^ { B } X ^ { C } } { X ^ { 0 } } ,",58e070b68c.png
H = \alpha \frac { \partial } { \partial \lambda } ( \ln \tau ( \lambda ) ) _ { \lambda = 0 },1c37528ba8.png
"S [ \varphi , g _ { \mu \nu } ^ { \omega } ] = S [ \varphi , g _ { \mu \nu } ]",1c485f435c.png
a = - \phi ^ { \prime } = - \frac { M - E } { R ^ { 2 } } - \frac { E ^ { \prime } } { R } .,3922a2e655.png
"e ^ { - \frac { i } { 2 \hbar } \omega _ { i j } \hat { L } _ { i j } } = e ^ { - \frac { i } { \hbar } \omega _ { \mu } \hat { L } _ { \mu } } ,",51228b6bf8.png
"E ^ { - - } \equiv \Pi ^ { \underline { m } } u _ { \underline { m } } ^ { - - } = e ^ { - - } ,",3199aef5f6.png
\varepsilon ^ { a b } \partial _ { a } \sqrt { G } \partial _ { b } = \frac { 1 } { 2 \sqrt { G } } \varepsilon ^ { a b } \partial _ { a } G \partial _ { b } .,3a518cdbba.png
A _ { \mu } = - \frac { 1 } { 2 } F _ { \mu \nu } x _ { \nu } .,47c6336c02.png
i g \sin ( \xi p \tilde { q } ) \theta _ { \mu \nu },6dc6808174.png
S ^ { l i n } \equiv T r _ { 1 } \{ \hat { \rho } - \hat { \rho } ^ { 2 } \} = 1 - T r _ { 1 } \hat { \rho } ^ { 2 } = 1 - d e t \{ \frac { 1 - Y } { 1 + Y } \} .,1e2990db6f.png
"\{ \begin{array} { c c c } \hat { G } ^ { ( 1 ) } & = & \partial \hat { C } ^ { ( 0 ) } , \\ \hat { G } ^ { ( 3 ) } & = & 3 ( \partial \hat { C } ^ { ( 2 ) } - \partial \hat { B } \hat { C } ^ { ( 0 ) } ) , \\ \hat { G } ^ { ( 5 ) } & = & 5 ( \partial \hat { C } ^ { ( 4 ) } - 6 \partial \hat { B } \hat { C } ^ { ( 2 ) } ) . \end{array} .",65ab1196da.png
"V ^ { g ^ { 4 } } = \int d ^ { 3 } x \langle 0 | ( I ^ { i } ) ^ { 2 } | 0 \rangle ,",92202ea2af.png
"\frac { 1 } { | x - x ^ { \prime } | } = \sum _ { \ell = 0 } ^ { \infty } \sum _ { m = - \ell } ^ { \ell } \frac { 4 \pi } { 2 \ell + 1 } \frac { R _ { < } ^ { \ell } } { R _ { > } ^ { \ell + 1 } } \bar { Y } _ { m } ^ { ( \ell ) } ( \theta ^ { \prime } , \phi ^ { \prime } ) Y _ { m } ^ { ( \ell ) } ( \theta , \phi ) .",34a612de75.png
"n _ { ( a _ { 1 } , \cdots , a _ { k } ) } - n _ { ( a _ { 1 } , \cdots , a _ { k } , a _ { k + 1 } ) } - n _ { ( a _ { 1 } , \cdots , a _ { k } , a _ { k + 2 } ) } + n _ { ( a _ { 1 } , \cdots , a _ { k } , a _ { k + 1 } , a _ { k + 2 } ) } = 0 ,",4007e8cf51.png
G ( \eta ) = \int D \phi e x p \{ - A + \phi \eta \phi \} .,7ccb53b54a.png
"F _ { 0 } ( S _ { k } , \Lambda , \mu ) \equiv F _ { 0 } ( S _ { k } , \Lambda , \mu \Lambda ) = \mu ^ { 6 } F _ { 0 } ( S _ { k } , \Delta , \Lambda ) .",268792786b.png
"A _ { i } = \Phi _ { i , s } \frac { \partial } { \partial r } - \Phi _ { i , r } \frac { \partial } { \partial s } \in s d i f f _ { q } ( T ^ { 2 } )",5b6570f9a2.png
d e t ( A ) : = d e t _ { \zeta } ( A B ) / d e t _ { \zeta } ( B ),4e3d2745cd.png
U ^ { \prime } = - \frac { k } { 2 \sqrt { 2 } } \frac { e ^ { U } } { r ^ { 2 } } ( p _ { 1 7 } e ^ { \phi } - p _ { 2 4 } B e ^ { - \phi } ),5b66a79ec5.png
"\ddot { \chi } = \chi \prime \prime - \frac { 1 } { r } \chi \prime - \kappa ^ { 2 } F ^ { 2 } \chi ,",1cdfd76645.png
"\phi ^ { + } ( s ) \in S \cap H _ { - } ^ { 2 } ,",244e8bb58f.png
"\Xi _ { 0 } \equiv u _ { \underline { m } } ^ { - - } u ^ { \underline { m } + + } - 2 = 0 ,",2934373a2e.png
"\eta = - b _ { 0 } \frac { g ^ { 2 } } { ( 4 \pi ) ^ { 2 } } - b _ { 1 } \frac { g ^ { 2 } } { ( 4 \pi ) ^ { 2 } } w _ { 2 } ,",6abd9f1da9.png
"\{ \gamma _ { i } , \gamma _ { j } \} = 2 \delta _ { i j } , i , j = 1 , 2 , \dots , 2 n .",3488f18242.png
"\Sigma _ { \mu \nu } ^ { g a s } ( x ) = \sum _ { a = 1 } ^ { N } n _ { a } \int d \sigma _ { \mu \nu } ( x ^ { a } ( \xi ) ) \delta ( x - x ^ { a } ( \xi ) ) ,",302bf38b1e.png
t = \frac { 1 } { C } [ \ln ( \frac { 1 } { \beta } \{ \frac { 4 } { \beta C ( C _ { 2 } - \tau ) } - 1 \} ) - C _ { 1 } ],629636c77d.png
"( \forall x \in N _ { A } , \forall \eta \in B ) \beta ( x _ { \eta } ^ { - 1 } x g _ { A } x ^ { - 1 } x _ { \eta } ) = I .",cc83663a8b.png
E _ { 2 s + 1 } = Q + Q ^ { - 1 } + \xi _ { 2 } + \xi _ { 2 } ^ { - 1 },11741abd7b.png
\phi ^ { \prime \prime } = 4 \partial ^ { \nu } \zeta _ { \nu } ^ { \prime },2c473dd795.png
\langle \bar { \chi } ^ { a } \Gamma _ { i j k } \chi ^ { a } \rangle = g _ { 8 } ^ { 2 } \Lambda ^ { 3 } \epsilon _ { i j k } .,3609069ecb.png
"\gamma _ { i } ^ { * } = \gamma _ { 1 } ^ { * } + ( \beta _ { 2 1 } ^ { - } ) ^ { * } + ( \beta _ { 3 2 } ^ { - } ) ^ { * } + \cdots + ( \beta _ { i , i - 1 } ^ { - } ) ^ { * } = \mu _ { 1 } ^ { * } + \mu _ { 2 } ^ { * } + \cdots + \mu _ { i } ^ { * } .",7e91058785.png
"T _ { j , m } = \frac { T _ { j , m - 1 } } { ( 1 - T _ { m , m - 1 } ) ^ { 2 ( j - m ) } }",16869d4c62.png
"e ^ { 2 f } = \frac { A ^ { 2 } } { r ^ { 2 } } ,",13e27dbf53.png
"\delta _ { \xi _ { i } } J ( \xi _ { j } ) = [ J ( \xi _ { i } ) , J ( \xi _ { j } ) ] .",2a8dbc3b16.png
"[ H _ { c } , P ^ { I } ] = i P ^ { I } , [ H _ { c } , Q ^ { I } ] = i Q ^ { I }",1a10584570.png
( \partial _ { k _ { 1 } k _ { 2 } } h _ { i j } ) I _ { h } ^ { i j ( k _ { 1 } k _ { 2 } ) },6c2709552d.png
O _ { S } ( k ) = e _ { s _ { 1 } } ( k ) \int O ( k _ { 1 } ) \Delta _ { s _ { 2 } } ( k - k _ { 1 } ) d k _ { 1 } .,8628f05cfc.png
\lambda \approx 3 . 1 3 2 0 1 0 2 1 6 7 4 9 .,36c34a7f33.png
J _ { \mu } = - \frac { i } { 4 \pi } \epsilon _ { \mu \nu \lambda } \partial ^ { \nu } ( V ^ { * } \partial ^ { \lambda } V - c . c . ),62ec7fa2de.png
\varphi _ { + } ^ { \prime } ( 0 _ { + } ) = \varphi _ { - } ( 0 _ { - } ) = \varphi _ { + } ^ { \prime } ( l ) = \varphi _ { - } ( - l ) = 0 .,2df80888de.png
"\frac { \partial N _ { i } ( x ) } { \partial t } = P _ { i } , \frac { \partial N _ { i } ( x ) } { \partial x _ { j } } = - H \delta _ { i j } , \frac { \partial J _ { i } ( x ) } { \partial x _ { j } } = - \epsilon _ { i j k } P _ { k } ,",566e82510a.png
"\Psi ^ { ( 3 ) } = \frac { 1 } { 3 ! } \psi _ { m n p } d X ^ { m } \wedge d X ^ { n } \wedge d X ^ { p } ,",76ff34c506.png
"L ^ { 2 } = - ( \frac { d t } { d \lambda } ) ^ { 2 } + e ^ { 2 t / l } ( \frac { d r } { d \lambda } ) ^ { 2 } + e ^ { 2 t / l } r ^ { 2 } \sum _ { b = 1 } ^ { d - 2 } ( \prod _ { a = 1 } ^ { b - 1 } \sin ^ { 2 } \theta _ { a } ) ( \frac { d \theta _ { b } } { d \lambda } ) ^ { 2 } ,",7e3395e036.png
